22,Otamamon,Rookie,1470,164,91,177,124,122,"When attacking, 10% chance to inflict Sleep status effect."
33,Syakomon,Rookie,1410,159,92,176,135,122,Increase damage dealt from water skills by 15%.
28,Kudamon,Rookie,980,192,92,181,118,164,Reduce the chance of receiving status effects by 50%.
80,GoldNumemon,Champion,1670,183,98,207,133,132,Increase YEN gain from battles.
47,Salamon,Rookie,930,182,98,183,113,156,Increase HP restoration by 20%.
51,Lucemon,Rookie,1770,207,98,272,153,168,Increase damage dealt from light skills by 15%.
71,Kyubimon,Champion,1130,202,98,202,128,187,Increase INT by 15%.
48,Betamon,Rookie,1410,160,100,177,125,122,Reduce the efficiency of received negative effects by 5%.
82,Sunflowmon,Champion,1720,172,103,205,138,130,Full immunity to Poison.
83,Seadramon,Champion,1620,177,103,198,148,132,Reduce the efficiency of received negative effects by 5%.
88,Sorcermon,Champion,1570,182,103,212,142,134,Full immunity to Panic.
76,Clockmon,Champion,1570,177,103,197,150,136,Increase damage dealt from thunder skills by 15%.
144,Vademon,Ultimate,1670,224,103,237,143,141,Full immunity to Dot.
98,Bakemon,Champion,980,212,103,202,118,187,"When attacking, 10% chance to inflict Panic status effect."
218,MarineAngemon,Mega,1580,262,103,267,133,212,Restore 5% of maximum SP every turn.
78,Gekomon,Champion,1670,182,107,192,138,134,"When attacking, 10% chance to inflict Sleep status effect."
159,Lilamon,Ultimate,1820,207,108,232,153,158,Full immunity to Poison.
91,Gatomon,Champion,1030,207,108,207,123,182,Increase HP restoration by 20%.
166,Wisemon,Ultimate,1180,232,108,262,128,192,"When attacking, 10% chance to inflict Dot status effect."
130,Taomon,Ultimate,1380,212,108,237,148,197,Increase INT by 15%.
117,Angewomon,Ultimate,1280,227,108,252,138,202,Increase HP restoration by 20%.
39,Hagurumon,Rookie,1730,145,110,113,174,110,Increase damage dealt from thunder skills by 15%.
19,Armadillomon,Rookie,1800,139,111,109,175,111,Increase DEF by 15%.
34,Solarmon,Rookie,1670,142,113,115,172,116,Full immunity to Sleep.
137,Datamon,Ultimate,1720,192,113,239,163,146,Increase scan value by 10%.
169,Ebemon,Mega,1770,237,113,262,163,173,Full immunity to Dot.
210,Plesiomon,Mega,2220,212,113,252,163,173,"When attacking, 10% chance to inflict Sleep status effect."
59,Wizardmon,Champion,1080,202,113,207,123,177,Increase INT by 15%.
161,Lillymon,Ultimate,1280,217,113,227,138,217,"When attacking, 10% chance to inflict Poison status effect."
232,Lotusmon,Mega,1330,252,113,277,153,227,Full immunity to Poison.
37,ToyAgumon,Rookie,1750,141,116,107,176,110,Increase DEF by 15%.
20,Impmon,Rookie,920,178,122,178,109,161,Increase INT by 15%.
67,KaratsukiNumemon,Champion,1920,157,123,118,212,118,Increase the item drop rate from enemies.
100,PlatinumSukamon,Champion,2020,152,123,123,202,118,Increase EXP gain from battles.
